price_per_night,room_type,normalized_price,catergorized_price_sec,catergorized_normalized_price_sec
295,apartment,0.05626718682874925,300.0,0.19999999999999973
2050,apartment,4.6022783397845135,,
75,room,-0.07302659197342072,100.0,-2.220446049250313e-16
74,apartment,-0.5161934768767914,100.0,-0.40000000000000013
550,apartment,0.7167987218736038,550.0,0.7999999999999996
110,room,0.06319892111554846,150.0,0.19999999999999973
68,apartment,-0.5317353953484351,100.0,-0.40000000000000013
75,apartment,-0.5136031571315175,100.0,-0.40000000000000013
90,apartment,-0.47474836095240835,100.0,-0.40000000000000013
479,apartment,0.5328860199591542,500.0,0.5999999999999996
45,room,-0.18979131747825145,50.0,-2.220446049250313e-16
150,room,0.2188852217886561,150.0,0.3999999999999997
50,room,-0.170330529894113,50.0,-2.220446049250313e-16
90,room,-0.014644229221005355,100.0,-2.220446049250313e-16
87,room,-0.026320701771488427,100.0,-2.220446049250313e-16
115,room,0.08265970869968692,150.0,0.19999999999999973
119,room,0.09822833876699769,150.0,0.19999999999999973
59,room,-0.13530111224266378,100.0,-2.220446049250313e-16
209,apartment,-0.16650031126480958,250.0,-2.220446049250313e-16
89,room,-0.018536386737833047,100.0,-2.220446049250313e-16
178,apartment,-0.24680022336830168,200.0,-0.20000000000000018
498,apartment,0.582102095119359,500.0,0.5999999999999996
221,apartment,-0.1354164743215223,250.0,-2.220446049250313e-16
70,apartment,-0.5265547558578871,100.0,-0.40000000000000013
149,room,0.2149930642718284,150.0,0.3999999999999997
79,apartment,-0.5032418781504218,100.0,-0.40000000000000013
49,room,-0.17422268741094069,50.0,-2.220446049250313e-16
65,room,-0.11194816714169763,100.0,-2.220446049250313e-16
79,room,-0.05745796190610995,100.0,-2.220446049250313e-16
125,apartment,-0.3840871698678205,150.0,-0.20000000000000018
75,apartment,-0.5136031571315175,100.0,-0.40000000000000013
50,room,-0.170330529894113,50.0,-2.220446049250313e-16
48,room,-0.17811484492776838,50.0,-2.220446049250313e-16
49,room,-0.17422268741094069,50.0,-2.220446049250313e-16
58,room,-0.13919326975949148,100.0,-2.220446049250313e-16
55,room,-0.15086974230997455,100.0,-2.220446049250313e-16
174,apartment,-0.25716150234939744,200.0,-0.20000000000000018
249,apartment,-0.06288752145385197,250.0,-2.220446049250313e-16
175,apartment,-0.25457118260412354,200.0,-0.20000000000000018
750,apartment,1.2348626709283919,750.0,1.3999999999999995
90,room,-0.014644229221005355,100.0,-2.220446049250313e-16
145,apartment,-0.3322807749623417,150.0,-0.20000000000000018
71,room,-0.08859522204073149,100.0,-2.220446049250313e-16
89,apartment,-0.4773386806976823,100.0,-0.40000000000000013
390,apartment,0.3023475626297735,400.0,0.3999999999999997
110,apartment,-0.4229419660469296,150.0,-0.40000000000000013
99,apartment,-0.4514354832449429,100.0,-0.40000000000000013
175,apartment,-0.25457118260412354,200.0,-0.20000000000000018
155,apartment,-0.3063775775096023,200.0,-0.20000000000000018
95,room,0.004816558363133101,100.0,0.19999999999999973
215,apartment,-0.15095839279316592,250.0,-2.220446049250313e-16
550,apartment,0.7167987218736038,550.0,0.7999999999999996
525,apartment,0.6520407282417554,550.0,0.7999999999999996
59,room,-0.13530111224266378,100.0,-2.220446049250313e-16
80,apartment,-0.5006515584051477,100.0,-0.40000000000000013
165,apartment,-0.2804743800568629,200.0,-0.20000000000000018
500,apartment,0.5872827346099069,500.0,0.5999999999999996
60,room,-0.13140895472583608,100.0,-2.220446049250313e-16
70,room,-0.09248737955755917,100.0,-2.220446049250313e-16
89,apartment,-0.4773386806976823,100.0,-0.40000000000000013
135,apartment,-0.3581839724150811,150.0,-0.20000000000000018
80,room,-0.05356580438928227,100.0,-2.220446049250313e-16
58,room,-0.13919326975949148,100.0,-2.220446049250313e-16
75,room,-0.07302659197342072,100.0,-2.220446049250313e-16
85,room,-0.03410501680514381,100.0,-2.220446049250313e-16
99,apartment,-0.4514354832449429,100.0,-0.40000000000000013
79,apartment,-0.5032418781504218,100.0,-0.40000000000000013
69,apartment,-0.5291450756031612,100.0,-0.40000000000000013
79,apartment,-0.5032418781504218,100.0,-0.40000000000000013
79,apartment,-0.5032418781504218,100.0,-0.40000000000000013
89,apartment,-0.4773386806976823,100.0,-0.40000000000000013
65,room,-0.11194816714169763,100.0,-2.220446049250313e-16
65,room,-0.11194816714169763,100.0,-2.220446049250313e-16
235,apartment,-0.09915199788768714,250.0,-2.220446049250313e-16
95,apartment,-0.46179676222603866,100.0,-0.40000000000000013
85,apartment,-0.48769995967877805,100.0,-0.40000000000000013
95,apartment,-0.46179676222603866,100.0,-0.40000000000000013
149,apartment,-0.3219194959812459,150.0,-0.20000000000000018
142,apartment,-0.34005173419816354,150.0,-0.20000000000000018
70,room,-0.09248737955755917,100.0,-2.220446049250313e-16
85,apartment,-0.48769995967877805,100.0,-0.40000000000000013
167,apartment,-0.275293740566315,200.0,-0.20000000000000018
65,room,-0.11194816714169763,100.0,-2.220446049250313e-16
99,apartment,-0.4514354832449429,100.0,-0.40000000000000013
110,apartment,-0.4229419660469296,150.0,-0.40000000000000013
110,apartment,-0.4229419660469296,150.0,-0.40000000000000013
96,apartment,-0.45920644248076475,100.0,-0.40000000000000013
90,apartment,-0.47474836095240835,100.0,-0.40000000000000013
257,apartment,-0.04216496349166046,300.0,-2.220446049250313e-16
139,apartment,-0.3478226934339853,150.0,-0.20000000000000018
50,room,-0.170330529894113,50.0,-2.220446049250313e-16
75,room,-0.07302659197342072,100.0,-2.220446049250313e-16
135,room,0.16050285903624073,150.0,0.19999999999999973
127,apartment,-0.3789065303772726,150.0,-0.20000000000000018
235,apartment,-0.09915199788768714,250.0,-2.220446049250313e-16
70,apartment,-0.5265547558578871,100.0,-0.40000000000000013
125,apartment,-0.3840871698678205,150.0,-0.20000000000000018
59,room,-0.13530111224266378,100.0,-2.220446049250313e-16
35,room,-0.22871289264652836,50.0,-0.20000000000000018
223,apartment,-0.1302358348309744,250.0,-2.220446049250313e-16
250,apartment,-0.06029720170857804,250.0,-2.220446049250313e-16
47,room,-0.18200700244459606,50.0,-2.220446049250313e-16
109,apartment,-0.42553228579220354,150.0,-0.40000000000000013
85,apartment,-0.48769995967877805,100.0,-0.40000000000000013
110,apartment,-0.4229419660469296,150.0,-0.40000000000000013
362,apartment,0.2298186097621032,400.0,0.3999999999999997
120,apartment,-0.3970387685941902,150.0,-0.20000000000000018
165,apartment,-0.2804743800568629,200.0,-0.20000000000000018
250,apartment,-0.06029720170857804,250.0,-2.220446049250313e-16
49,room,-0.17422268741094069,50.0,-2.220446049250313e-16
50,room,-0.170330529894113,50.0,-2.220446049250313e-16
55,room,-0.15086974230997455,100.0,-2.220446049250313e-16
39,room,-0.2131442625792176,50.0,-0.20000000000000018
45,room,-0.18979131747825145,50.0,-2.220446049250313e-16
650,apartment,0.9758306964009978,650.0,0.9999999999999996
69,apartment,-0.5291450756031612,100.0,-0.40000000000000013
239,apartment,-0.08879071890659138,250.0,-2.220446049250313e-16
129,apartment,-0.37372589088672475,150.0,-0.20000000000000018
38,room,-0.2170364200960453,50.0,-0.20000000000000018
137,apartment,-0.35300333292453323,150.0,-0.20000000000000018
126,apartment,-0.3814968501225465,150.0,-0.20000000000000018
139,apartment,-0.3478226934339853,150.0,-0.20000000000000018
140,apartment,-0.3452323736887114,150.0,-0.20000000000000018
199,apartment,-0.19240350871754897,200.0,-2.220446049250313e-16
165,apartment,-0.2804743800568629,200.0,-0.20000000000000018
89,apartment,-0.4773386806976823,100.0,-0.40000000000000013
200,apartment,-0.189813188972275,200.0,-2.220446049250313e-16
225,apartment,-0.12505519534042653,250.0,-2.220446049250313e-16
83,apartment,-0.492880599169326,100.0,-0.40000000000000013
130,room,0.1410420714521023,150.0,0.19999999999999973
290,apartment,0.043315588102379544,300.0,0.19999999999999973
199,apartment,-0.19240350871754897,200.0,-2.220446049250313e-16
366,apartment,0.24017988874319895,400.0,0.3999999999999997
961,apartment,1.781420137181193,,1.7999999999999994
295,apartment,0.05626718682874925,300.0,0.19999999999999973
450,apartment,0.45776674734620987,450.0,0.5999999999999996
125,apartment,-0.3840871698678205,150.0,-0.20000000000000018
200,apartment,-0.189813188972275,200.0,-2.220446049250313e-16
74,apartment,-0.5161934768767914,100.0,-0.40000000000000013
48,apartment,-0.5835417902539138,50.0,-0.40000000000000013
750,apartment,1.2348626709283919,750.0,1.3999999999999995
59,room,-0.13530111224266378,100.0,-2.220446049250313e-16
49,room,-0.17422268741094069,50.0,-2.220446049250313e-16
120,apartment,-0.3970387685941902,150.0,-0.20000000000000018
365,apartment,0.23758956899792502,400.0,0.3999999999999997
365,apartment,0.23758956899792502,400.0,0.3999999999999997
200,room,0.41349309763004066,200.0,0.5999999999999996
197,apartment,-0.19758414820809683,200.0,-2.220446049250313e-16
255,apartment,-0.047345602982208336,300.0,-2.220446049250313e-16
