monthly_availability,projected_monthly_income,room_types
0,8850,apartment
16,61500,apartment
28,2250,room
24,2220,apartment
7,16500,apartment
27,3300,room
20,2040,apartment
10,2250,apartment
0,2700,apartment
27,14370,apartment
24,1350,room
0,4500,room
18,1500,room
21,2700,room
26,2610,room
27,3450,room
21,3570,room
3,1770,room
25,6270,apartment
0,2670,room
30,5340,apartment
5,14940,apartment
19,6630,apartment
9,2100,apartment
22,4470,room
18,2370,apartment
14,1470,room
0,1950,room
30,2370,room
23,3750,apartment
6,2250,apartment
3,1500,room
22,1440,room
14,1470,room
6,1740,room
22,1650,room
29,5220,apartment
0,7470,apartment
30,5250,apartment
5,22500,apartment
11,2700,room
27,4350,apartment
7,2130,room
29,2670,apartment
29,11700,apartment
29,3300,apartment
29,2970,apartment
9,5250,apartment
28,4650,apartment
8,2850,room
29,6450,apartment
20,16500,apartment
9,15750,apartment
27,1770,room
2,2400,apartment
17,4950,apartment
13,15000,apartment
21,1800,room
30,2100,room
26,2670,apartment
27,4050,apartment
24,2400,room
6,1740,room
1,2250,room
5,2550,room
24,2970,apartment
21,2370,apartment
21,2070,apartment
22,2370,apartment
25,2370,apartment
16,2670,apartment
30,1950,room
30,1950,room
0,7050,apartment
30,2850,apartment
5,2550,apartment
10,2850,apartment
19,4470,apartment
28,4260,apartment
15,2100,room
0,2550,apartment
22,5010,apartment
29,1950,room
12,2970,apartment
16,3300,apartment
28,3300,apartment
22,2880,apartment
0,2700,apartment
29,7710,apartment
0,4170,apartment
0,1500,room
22,2250,room
0,4050,room
30,3810,apartment
28,7050,apartment
28,2100,apartment
13,3750,apartment
0,1770,room
21,1050,room
26,6690,apartment
4,7500,apartment
6,1410,room
29,3270,apartment
27,2550,apartment
6,3300,apartment
0,10860,apartment
15,3600,apartment
15,4950,apartment
0,7500,apartment
1,1470,room
12,1500,room
2,1650,room
2,1170,room
2,1350,room
26,19500,apartment
28,2070,apartment
0,7170,apartment
6,3870,apartment
27,1140,room
16,4110,apartment
25,3780,apartment
0,4170,apartment
17,4200,apartment
6,5970,apartment
27,4950,apartment
22,2670,apartment
28,6000,apartment
6,6750,apartment
20,2490,apartment
30,3900,room
0,8700,apartment
29,5970,apartment
27,10980,apartment
30,28830,apartment
0,8850,apartment
24,13500,apartment
6,3750,apartment
29,6000,apartment
1,2220,apartment
12,1440,apartment
27,22500,apartment
1,1770,room
2,1470,room
28,3600,apartment
19,10950,apartment
21,10950,apartment
26,6000,room
18,5910,apartment
7,7650,apartment
30,8250,apartment
14,15750,apartment
3,1170,room
2,1650,room
11,3780,apartment
27,2400,apartment
18,29970,apartment
5,870,room
22,9000,apartment
4,1080,room
0,3120,apartment
22,5250,apartment
22,4560,apartment
30,6000,apartment
21,3750,apartment
30,4650,room
3,1170,room
30,9000,apartment
30,4950,room
1,1050,room
21,13950,apartment
7,7650,apartment
22,1920,apartment
7,2100,room
30,5250,room
24,5400,apartment
27,3750,apartment
17,5490,apartment
28,6000,room
29,2670,apartment
0,1800,apartment
0,1650,room
28,3300,apartment
0,9000,apartment
18,3780,apartment
0,2940,room
6,2970,room
